Customer_ID,Full_Name,Gender,Date_of_Birth,Region,Education_Level,Employment_Status,Annual_Income,Credit_History_Length,Credit_Score
1001,Customer_1,Male,1996-07-22,North,High School,Employed,102988,3,808
1002,Customer_2,Female,2012-01-23,North,Bachelor,Retired,83342,1,780
1003,Customer_3,Male,1986-08-12,West,Master,Self-employed,139516,4,413
1004,Customer_4,Male,1996-05-18,West,Bachelor,Employed,43951,20,660
1005,Customer_5,Male,1997-11-21,West,High School,Employed,26307,2,640
1006,Customer_6,Female,1984-05-24,North,Bachelor,Self-employed,105388,5,748
1007,Customer_7,Male,2005-03-31,North,Master,Self-employed,115768,3,479
1008,Customer_8,Male,2005-04-06,West,Bachelor,Employed,60428,9,706
1009,Customer_9,Male,2001-05-20,Central,Bachelor,Unemployed,133707,20,495
1010,Customer_10,Female,2001-08-06,Central,High School,Self-employed,117021,6,765
1011,Customer_11,Male,1992-01-06,South,Bachelor,Employed,143418,18,610
1012,Customer_12,Male,1989-07-08,East,PhD,Employed,100774,6,561
1013,Customer_13,Male,1987-04-04,Central,High School,Employed,63975,19,718
1014,Customer_14,Male,1985-04-13,North,Bachelor,Self-employed,142850,12,705
1015,Customer_15,Female,1983-01-17,Central,Master,Employed,26140,11,442
1016,Customer_16,Male,1998-10-21,South,Master,Employed,49842,2,641
1017,Customer_17,Female,2014-07-12,South,Bachelor,Self-employed,51421,15,615
1018,Customer_18,Female,1998-03-25,East,Master,Unemployed,26708,12,400
1019,Customer_19,Female,1996-02-13,Central,Bachelor,Employed,28630,12,543
1020,Customer_20,Male,2005-09-05,North,High School,Unemployed,44595,9,789
1021,Customer_21,Female,2001-10-17,North,Master,Employed,101021,21,311
1022,Customer_22,Male,1985-09-10,West,Master,Unemployed,53308,24,538
1023,Customer_23,Female,2004-03-01,North,Master,Employed,69789,2,341
1024,Customer_24,Female,2007-12-01,East,Master,Employed,80690,22,728
1025,Customer_25,Female,1998-04-26,East,Bachelor,Self-employed,51086,3,457
1026,Customer_26,Female,1999-04-02,North,Bachelor,Employed,41859,12,515
1027,Customer_27,Female,2000-04-06,North,Master,Employed,32684,16,761
1028,Customer_28,Female,1986-05-06,West,Bachelor,Self-employed,116088,21,433
1029,Customer_29,Female,2017-04-27,North,Master,Self-employed,26207,24,366
1030,Customer_30,Female,2006-12-19,West,Master,Self-employed,71099,1,306
1031,Customer_31,Male,1997-01-23,West,Master,Self-employed,92496,21,825
1032,Customer_32,Male,2020-09-11,North,Bachelor,Employed,91093,3,372
1033,Customer_33,Female,1993-12-29,South,Bachelor,Employed,54689,20,698
1034,Customer_34,Female,2010-04-04,South,High School,Employed,73651,2,704
1035,Customer_35,Female,2003-10-28,West,Bachelor,Employed,38893,9,429
1036,Customer_36,Male,2013-11-30,North,High School,Retired,122808,19,765
1037,Customer_37,Female,2004-10-13,South,Bachelor,Employed,91418,15,505
1038,Customer_38,Male,2009-09-03,North,Bachelor,Employed,128065,18,565
1039,Customer_39,Male,1992-02-26,North,High School,Employed,85011,11,836
1040,Customer_40,Male,2019-09-10,North,Bachelor,Retired,63635,23,552
1041,Customer_41,Male,2009-02-17,Central,High School,Employed,81115,16,588
1042,Customer_42,Male,1983-10-04,North,High School,Employed,120071,22,463
1043,Customer_43,Female,1994-06-21,Central,Master,Employed,103405,17,394
1044,Customer_44,Female,1983-01-04,West,Bachelor,Self-employed,97702,5,409
1045,Customer_45,Female,2003-12-12,South,High School,Employed,103518,12,635
1046,Customer_46,Female,2013-05-06,South,Bachelor,Unemployed,131233,11,537
1047,Customer_47,Female,1998-07-11,South,Master,Retired,128651,15,680
1048,Customer_48,Male,2018-11-29,South,High School,Employed,97805,3,735
1049,Customer_49,Female,1987-02-23,South,Bachelor,Self-employed,83954,1,782
1050,Customer_50,Female,1983-09-28,South,High School,Retired,53064,20,324
1051,Customer_51,Male,1982-10-21,South,High School,Self-employed,147813,16,416
1052,Customer_52,Female,1983-04-19,West,Bachelor,Employed,104063,2,781
1053,Customer_53,Male,1999-05-15,North,Bachelor,Employed,27454,2,691
1054,Customer_54,Female,2002-09-14,East,Bachelor,Self-employed,45878,3,836
1055,Customer_55,Male,2007-11-06,Central,Master,Employed,76098,8,378
1056,Customer_56,Female,2018-06-17,East,PhD,Self-employed,87154,24,472
1057,Customer_57,Female,2011-05-14,East,Bachelor,Retired,37991,15,311
1058,Customer_58,Male,1987-07-16,North,Bachelor,Retired,93344,7,427
1059,Customer_59,Male,2001-06-03,North,Master,Employed,129946,6,391
1060,Customer_60,Male,1998-01-06,North,High School,Employed,61593,9,842
1061,Customer_61,Male,1979-09-11,South,Bachelor,Retired,61304,20,831
1062,Customer_62,Male,1984-06-30,West,High School,Unemployed,55386,1,746
1063,Customer_63,Male,2016-10-05,South,High School,Employed,80220,8,689
1064,Customer_64,Male,2018-03-09,West,PhD,Retired,138613,23,342
1065,Customer_65,Male,1985-06-09,West,Master,Unemployed,94338,23,553
1066,Customer_66,Female,2004-04-02,East,Bachelor,Employed,119289,3,429
1067,Customer_67,Female,2000-04-21,East,Bachelor,Employed,46083,4,359
1068,Customer_68,Male,1989-09-18,West,High School,Employed,43354,15,766
1069,Customer_69,Female,1998-01-21,West,High School,Employed,47190,6,586
1070,Customer_70,Female,1988-03-10,South,High School,Employed,31142,15,816
1071,Customer_71,Female,2006-07-02,South,Bachelor,Unemployed,53398,21,766
1072,Customer_72,Female,1993-11-25,East,Master,Employed,76971,3,644
1073,Customer_73,Male,1985-08-25,North,Bachelor,Employed,66862,21,681
1074,Customer_74,Female,2015-07-09,West,High School,Employed,123668,21,552
1075,Customer_75,Male,2012-06-20,South,PhD,Employed,78410,14,355
1076,Customer_76,Female,1982-03-11,East,Master,Retired,44503,20,762
1077,Customer_77,Female,2002-11-26,South,Bachelor,Employed,73456,14,756
1078,Customer_78,Female,2018-12-22,West,Bachelor,Employed,125167,4,382
1079,Customer_79,Male,2020-07-14,West,Bachelor,Self-employed,107035,12,398
1080,Customer_80,Female,2001-01-19,Central,High School,Employed,130388,17,448
1081,Customer_81,Male,1993-01-13,North,Bachelor,Employed,33016,7,628
1082,Customer_82,Female,1982-01-04,Central,Master,Employed,27384,9,455
1083,Customer_83,Male,1995-04-11,East,High School,Employed,87320,3,489
1084,Customer_84,Female,2007-12-29,South,High School,Employed,40072,13,793
1085,Customer_85,Male,2011-08-03,East,High School,Employed,127239,15,562
1086,Customer_86,Male,1997-01-10,West,High School,Employed,136431,18,379
1087,Customer_87,Female,2010-06-12,Central,Master,Retired,105018,19,699
1088,Customer_88,Male,2003-09-18,Central,Master,Employed,65510,1,559
1089,Customer_89,Female,1987-09-12,Central,Bachelor,Employed,73933,6,400
1090,Customer_90,Female,2008-12-30,East,High School,Self-employed,46826,23,658
1091,Customer_91,Female,2018-09-08,West,Bachelor,Employed,93026,2,679
1092,Customer_92,Female,2013-09-03,South,Bachelor,Self-employed,146668,24,520
1093,Customer_93,Female,2006-12-21,South,High School,Employed,136628,14,719
1094,Customer_94,Female,1983-12-20,East,Bachelor,Retired,50518,6,423
1095,Customer_95,Female,1988-03-06,Central,Bachelor,Employed,49045,14,721
1096,Customer_96,Female,1995-09-30,North,Bachelor,Employed,75876,4,530
1097,Customer_97,Female,2019-12-13,East,Bachelor,Employed,117446,21,362
1098,Customer_98,Female,1997-03-15,East,High School,Retired,115102,8,784
1099,Customer_99,Female,2013-03-25,West,Bachelor,Employed,76919,3,782
1100,Customer_100,Male,1997-02-21,South,Bachelor,Employed,124441,19,818
1101,Customer_101,Male,2003-07-24,East,Bachelor,Employed,52103,14,454
1102,Customer_102,Female,2012-11-12,East,Master,Self-employed,143805,20,391
1103,Customer_103,Female,2008-06-02,Central,Bachelor,Employed,61188,17,825
1104,Customer_104,Female,2016-09-14,Central,High School,Unemployed,30845,8,754
1105,Customer_105,Female,1992-08-06,North,High School,Employed,111698,24,809
1106,Customer_106,Female,1980-12-01,West,Bachelor,Employed,61674,14,482
1107,Customer_107,Female,1981-12-11,North,High School,Employed,143325,6,685
1108,Customer_108,Female,1995-12-06,Central,Bachelor,Employed,44337,23,704
1109,Customer_109,Female,1990-02-19,South,Master,Employed,47313,22,545
1110,Customer_110,Male,1992-04-18,Central,Bachelor,Employed,51943,16,770
1111,Customer_111,Female,1993-04-25,West,Bachelor,Self-employed,102949,19,722
1112,Customer_112,Male,1984-10-23,Central,Bachelor,Employed,25276,14,364
1113,Customer_113,Female,2003-12-04,West,Bachelor,Employed,76151,19,312
1114,Customer_114,Female,1994-03-30,West,Bachelor,Employed,42611,3,512
1115,Customer_115,Male,1988-05-28,West,Master,Employed,129641,10,541
1116,Customer_116,Female,2019-07-25,West,Bachelor,Employed,36944,19,792
1117,Customer_117,Male,2007-10-06,West,PhD,Employed,77887,9,512
1118,Customer_118,Female,2020-07-04,South,Master,Employed,106442,20,637
1119,Customer_119,Female,1996-04-11,North,High School,Unemployed,74847,13,472
1120,Customer_120,Male,2000-10-17,East,High School,Retired,83653,7,463
1121,Customer_121,Female,1993-11-16,North,High School,Employed,111072,14,764
1122,Customer_122,Male,1984-06-15,West,High School,Employed,147589,9,796
1123,Customer_123,Female,2018-11-24,South,High School,Self-employed,81622,23,694
1124,Customer_124,Male,1995-02-13,Central,Bachelor,Employed,52810,19,607
1125,Customer_125,Male,2012-07-28,South,High School,Employed,102842,15,482
1126,Customer_126,Female,2010-10-07,West,Bachelor,Employed,147225,20,809
1127,Customer_127,Female,2016-02-05,South,Master,Self-employed,35503,14,845
1128,Customer_128,Male,1988-10-14,South,High School,Self-employed,109761,24,526
1129,Customer_129,Female,2004-03-02,West,Master,Employed,61976,6,735
1130,Customer_130,Female,2019-09-28,South,High School,Employed,36590,21,721
1131,Customer_131,Female,1986-11-27,East,High School,Employed,148421,4,320
1132,Customer_132,Male,1985-10-31,East,Bachelor,Self-employed,35886,8,696
1133,Customer_133,Male,2012-04-10,South,Bachelor,Employed,37866,17,404
1134,Customer_134,Male,2012-02-03,Central,Master,Employed,91624,9,491
1135,Customer_135,Male,1980-05-07,West,Master,Self-employed,93899,1,316
1136,Customer_136,Male,1992-10-04,East,Master,Employed,57792,24,419
1137,Customer_137,Male,2006-01-17,Central,High School,Self-employed,34764,20,692
1138,Customer_138,Male,2005-06-15,South,High School,Employed,145832,14,724
1139,Customer_139,Male,1985-06-16,Central,Master,Employed,145356,11,428
1140,Customer_140,Male,2008-05-21,North,Master,Employed,111156,21,429
1141,Customer_141,Female,1984-02-12,East,PhD,Self-employed,67727,3,328
1142,Customer_142,Male,1997-02-27,South,Bachelor,Unemployed,103471,9,396
1143,Customer_143,Female,1982-01-22,West,Bachelor,Unemployed,33068,14,309
1144,Customer_144,Female,1996-05-03,South,Master,Employed,141923,9,541
1145,Customer_145,Female,1980-01-29,West,Bachelor,Self-employed,32295,4,531
1146,Customer_146,Male,2010-10-12,South,Master,Employed,66160,4,583
1147,Customer_147,Male,1988-01-25,Central,Master,Employed,36390,8,499
1148,Customer_148,Male,1994-04-13,Central,Bachelor,Unemployed,131752,2,378
1149,Customer_149,Male,1997-01-30,Central,Master,Employed,45131,9,472
1150,Customer_150,Female,1999-06-14,North,Master,Employed,119754,14,766
1151,Customer_151,Male,1992-02-20,West,High School,Employed,100969,22,715
1152,Customer_152,Male,1996-06-06,Central,Master,Employed,40038,9,748
1153,Customer_153,Male,1990-01-30,North,Bachelor,Employed,77327,24,386
1154,Customer_154,Male,1981-08-27,West,Master,Employed,118718,23,400
1155,Customer_155,Male,1982-09-11,South,Bachelor,Employed,102064,16,307
1156,Customer_156,Female,1992-03-12,North,Master,Unemployed,46281,17,499
1157,Customer_157,Male,1993-04-13,East,Bachelor,Unemployed,79189,16,804
1158,Customer_158,Female,1996-11-08,North,High School,Employed,73511,12,386
1159,Customer_159,Male,2010-08-04,North,Master,Employed,147115,3,342
1160,Customer_160,Female,1990-07-05,West,High School,Employed,33605,11,684
1161,Customer_161,Male,1981-01-10,South,Bachelor,Employed,125318,14,734
1162,Customer_162,Male,2015-10-15,East,PhD,Employed,26381,18,707
1163,Customer_163,Female,2012-01-13,Central,PhD,Self-employed,91634,21,782
1164,Customer_164,Female,2003-04-17,Central,Bachelor,Employed,44810,21,316
1165,Customer_165,Female,2000-08-21,North,Bachelor,Employed,143343,5,447
1166,Customer_166,Male,2009-10-01,West,Bachelor,Employed,49322,16,576
1167,Customer_167,Female,2010-12-12,West,High School,Employed,66869,20,531
1168,Customer_168,Male,1981-03-28,Central,Bachelor,Retired,57955,5,665
1169,Customer_169,Male,2008-10-16,East,Bachelor,Self-employed,86388,3,527
1170,Customer_170,Female,2013-10-03,South,Master,Employed,135252,12,735
1171,Customer_171,Female,1986-05-08,East,Master,Unemployed,35207,1,698
1172,Customer_172,Male,1989-12-17,South,Master,Employed,112329,21,510
1173,Customer_173,Male,1999-03-08,Central,High School,Unemployed,92628,9,690
1174,Customer_174,Female,1988-04-18,South,Bachelor,Self-employed,53220,9,798
1175,Customer_175,Female,2006-10-19,West,High School,Employed,109050,4,839
1176,Customer_176,Female,1987-11-13,North,Bachelor,Employed,128546,3,790
1177,Customer_177,Male,1990-04-29,North,Bachelor,Employed,99085,17,741
1178,Customer_178,Male,2001-08-16,Central,Master,Employed,47031,2,560
1179,Customer_179,Male,2003-06-05,West,Bachelor,Self-employed,95721,24,649
1180,Customer_180,Male,1995-06-20,East,High School,Employed,105807,1,651
1181,Customer_181,Male,1981-01-11,West,High School,Employed,96312,8,819
1182,Customer_182,Male,1988-01-06,North,Master,Unemployed,84766,13,619
1183,Customer_183,Female,2003-09-30,North,Bachelor,Retired,37449,23,437
1184,Customer_184,Male,2012-11-12,West,High School,Employed,114833,15,849
1185,Customer_185,Male,1985-12-08,West,High School,Employed,81699,8,667
1186,Customer_186,Male,1994-07-17,North,Master,Employed,131127,12,519
1187,Customer_187,Female,2011-09-15,East,High School,Employed,106253,22,636
1188,Customer_188,Male,1985-10-06,Central,Master,Retired,130659,12,522
1189,Customer_189,Male,2007-05-06,Central,Master,Employed,129769,14,659
1190,Customer_190,Female,2017-12-29,West,High School,Employed,136041,15,628
1191,Customer_191,Male,2009-09-10,Central,High School,Employed,141185,15,762
1192,Customer_192,Male,1998-05-06,North,PhD,Employed,71092,9,681
1193,Customer_193,Male,2010-01-24,North,Bachelor,Self-employed,88671,19,468
